Cuisine,NumberOfReviews,Rating,RestaurantID
Chinese,1038,4,xq0cX_DgxiJMXwhmEl9kUA
Chinese,289,4,FXhSEZfIqjMZh4hR0_8jMQ
Chinese,404,4,ojbH3wnRu050hRhkmoxRiA
Chinese,324,4,6tASYtO9zOrXr8-LPnAToQ
Chinese,645,4,bVkjBJlAIwKAj9Aw1KVWjA
Chinese,67,4.5,0dDCDQz7DrKkSvu9h2hcQw
Chinese,992,4,wfhMIiMh2A2psCGONOVSlg
Chinese,187,4,xCHApgtkLpEyh0lz-uhZvg
Chinese,53,4.5,w3wKbjuNCZnYoPOr-FCk5w
Chinese,5037,4,0CjK3esfpFcxIopebzjFxA
Chinese,1306,4,HScFap2SwbUlfC-QXVkxFA
Chinese,148,4,oowNI_aUmGEFa_VW8BFgRg
Chinese,179,4,lQ8Fzgji9qmgRXkFcvAsVQ
Chinese,44,4,croh2zWlbPyCQTNS11klcg
Chinese,156,4,5YBYGnZtTGJABXC4Jahhzg
Chinese,67,4,SBJHGtqJyfaU47NPjGAU6A
Chinese,1260,3.5,6hacsz7FUwprKTjJb6KFog
Chinese,8,5,i6RhqnCJ_oUfTu5LikGXUg
Chinese,270,4,dDXtga5Kgo5B1twdezcZJA
Chinese,95,4,jc7lVTvmYMIK5RNpENtS6w
Chinese,86,4,eVDV1ALwvre01Xo8v6BCoQ
Chinese,385,4,BPErPpKSNluwcjbKRgze3w
Chinese,65,4,gJXNSJ9VXTuCFmp_Kl9TVQ
Chinese,57,4.5,ZCAkVl5SeCDeBWg_xjfYeg
Chinese,12,3.5,a93NwZxjkPQydJxR42oPyg
Chinese,268,4,tsHdT1GDibhYYA0JA7Z9tg
Chinese,261,4.5,0vg2Z-HPwkyVVX613j2ysg
Chinese,376,3.5,SVJNB9LqI13jtVyKMZVqeg
Chinese,383,4,Kqb7MjTPNkjPMoFRd-rWpw
Chinese,26,4,Aux2Mp7bGnF3S6h60ab3iQ
Chinese,204,4,sfsjk1h50ooC2ioY7m48gw
Chinese,470,4,0k678lCWQyReNi0lARlOmw
Chinese,448,3.5,qGgQMVExGERqGhZNDM2ROg
Chinese,112,3.5,Bwj7nzWphGV6FaZ_ygTSOg
Chinese,170,4.5,A-ert0jDRBfku9ogyW_mEg
Chinese,768,4,neQM053ovAOrf1sVSAPI9w
Chinese,50,4,douRKPVxuo8BEOkMxgVl_w
Chinese,351,4,7ZQSMqWzvXMSetXnii2fBg
Chinese,123,4,#NAME?
Chinese,166,3.5,lgS9lE0Y9FhzT68zCj5QCw
Chinese,139,4,YdAtCf_13UK-uvXuOMrhNg
Chinese,837,3.5,uiQ6p_3biJD5S4PrF58t_g
Chinese,174,3.5,jwKPVep2qZYBUA6SLLQPvg
Chinese,118,4,I_Va7AZSHpEwX75S-3hHLQ
Chinese,1045,4,H1jops1lmuhrq9lP7lEGJQ
Chinese,23,4,#NAME?
Chinese,1457,4,Gd3_3mxOvj2xYiqysV8rbQ
Chinese,387,3.5,wurhcLKXD4YJ5XfTxpbE5Q
Chinese,327,4.5,R7EGjHWw0tNheY6-ahH8fQ
Chinese,46,4,MXstrG3HjF83LcxAd8OpTw
Chinese,147,4,wDuf4Qz9qsC62amLZgWNJQ
Chinese,165,4,MdDj13LgIs0WdbIdiyqB7Q
Chinese,190,4.5,pBNMZp_tKCAfRNx7-ybcHQ
Chinese,522,4,kwqOmEwWJ0D9PyCdFGE3-g
Chinese,100,4,lSrdxUNxyMgh5YU903JUiw
Chinese,155,3.5,u5-S5ElOzXnavuZ2gFsCpg
Chinese,1291,4,R26zweQ8-xoZS7iHkXQOvw
Chinese,140,4,WRPJeH3goSpj5ke3Pkrnfw
Chinese,268,3.5,1dFOF1HPaThSCsdiqR7DrA
Chinese,12,4.5,3kq1_dUIPrA6BFTuX-M6mw
Chinese,357,4,ynB8T3htx8s5V0YV8gVPGA
Chinese,147,4,_WXa2M3gz2Mi0ys3s88nDw
Chinese,343,3.5,scTDvJ2M2jDbb1ntVeIyxA
Chinese,217,3.5,mDajKjZjRN4tVGEJFOgF9w
Chinese,3376,4,nI1UYDCYUTt23TpGxqnLKg
Chinese,124,3.5,UNyGz06_7RendbswIyNYtA
Chinese,214,3.5,IqbHVeqgewmbeSMXBhbqSw
Chinese,273,3.5,6dVXDdgzDEVt4DvHzpWo9w
Chinese,178,4,x64xHVZoQj1ZOjzPqVprkw
Chinese,25,4.5,sxv1oJxG8uu6u4tjKHiJMA
Chinese,52,3.5,s5JNxy0eAFgxS2Poi73ODw
Chinese,580,4,C7CFAdrczXxNhnN-MNJqmw
Chinese,776,4,bnDfFdiCcPzhuNWUJORvLQ
Chinese,295,4,l44CFBTejwL0ElKmkH7xQQ
Chinese,912,3.5,SNhDVaf_n7VDZcfry8mYdA
Chinese,154,3.5,AxalkZb61r5Ks7l1yhhIHQ
Chinese,54,3.5,Qgv2vyUV-DwK8YwrhU-jtw
Chinese,50,4,8xDbEfYXuPwi-94LLcb22A
Chinese,169,4,hh0W5CPtx2MoyQGb1kAEEA
Chinese,301,4,XiIBASyS65DX3E_staW0JQ
Chinese,1770,4,M-odQWSEfsR2mVEw7nKG-g
Chinese,486,4,8ig0yf0003DAp4YOGTlbVg
Chinese,101,4,D13m2P0qKQUWNqIW-lpHZg
Chinese,76,4.5,HjUwZOlok1TabhS4S1ya2w
Chinese,268,3.5,wDRgZ1i7xcJ51xgtfO-fxQ
Chinese,150,3,sR-KTsDa4vafaDak9Ik2sQ
Chinese,14,4,b2d8CP6sKQotFjzZX0Thtw
Chinese,179,3.5,7T7L3GgX_rA88SlCfd0QBw
Chinese,235,3.5,38KDbZ8yuozUbswBr6OWVA
Chinese,90,4,DKGUSLiqNchBNatKoPM9QQ
Chinese,42,4,Qsc2DrX3IR-uGfwnUlOzcA
Chinese,21,3.5,hBbAmEYXM4L03AU9Vt_p9g
Chinese,139,3.5,Jy7htqnnxlKB2vZO42_-aw
Chinese,124,4,oJjMYhA6z1_BVaQpSdyl8g
Chinese,2226,4,IhSVn0TaX8xXb3wcQ-fgcA
Chinese,123,4.5,9-vKFnUby_6-pR6UJxjzMw
Chinese,25,4,54om5q7V4anmIXw2PdNJbA
Chinese,37,4,DOa_Hm5HHT99GOvlhbydaQ
